ICD10_Code,dx_name,N,oncotree_code,Confidence,Metastasis,ICD10 info,level_1,level_2,level_3,level_4,level_5
C50.812,Malignant neoplasm of overlapping sites of left female breast (CMS-HCC),16,,,,,,,,,
C64.9,Metastatic renal cell carcinoma (CMS-HCC),16,,,,,,,,,
C79.31,Brain metastasis (CMS-HCC),16,,,,,,,,,
C79.51,Secondary cancer of bone (CMS-HCC),16,,,,,,,,,
C80.0,Carcinomatosis (CMS-HCC),16,,,,,,,,,
Z17.0,Malignant neoplasm of overlapping sites of right breast in female,16,,,,,,,,,
C10.9,Oropharyngeal cancer (CMS-HCC),15,,,,,,,,,
C25.9,Pancreas cancer (CMS-HCC),15,,,,,,,,,
C25.9,Pancreatic adenocarcinoma (CMS-HCC),15,,,,,,,,,
C43.9,Malignant melanoma,15,,,,,,,,,
C78.00,Secondary cancer of lung (CMS-HCC),15,,,,,,,,,
C79.31,Secondary cancer of brain (CMS-HCC),15,,,,,,,,,
C79.51,Bone metastasis (CMS-HCC),15,,,,,,,,,
D37.3,Appendiceal tumor,15,,,,,,,,,
D47.3,Thrombocytosis (CMS-HCC),15,,,,,,,,,
C18.9,Colon cancer metastasized to multiple sites (CMS-HCC),14,,,,,,,,,
C44.91,Basal cell carcinoma of skin,14,,,,,,,,,
C44.92,SCC (squamous cell carcinoma),14,,,,,,,,,
C64.9,Metastatic renal cell carcinoma,14,,,,,,,,,
C77.2,Secondary malignant neoplasm of retroperitoneal lymph nodes (CMS-HCC),14,,,,,,,,,
C79.31,Metastasis to brain (CMS-HCC),14,,,,,,,,,
C7A.8,Neuroendocrine cancer (CMS-HCC),14,,,,,,,,,
D05.10,DCIS (ductal carcinoma in situ),14,,,,,,,,,
Z17.0,Malignant neoplasm of overlapping sites of left breast in female,14,,,,,,,,,
C18.9,Metastatic colon cancer in female (CMS-HCC),13,,,,,,,,,
C44.91,Basal cell carcinoma,13,,,,,,,,,
C49.9,Sarcoma (CMS-HCC),13,,,,,,,,,
C64.2,Renal cell cancer,13,,,,,,,,,
C67.9,Malignant neoplasm of urinary bladder (CMS-HCC),13,,,,,,,,,
C79.31,Secondary malignant neoplasm of brain and spinal cord (CMS-HCC),13,,,,,,,,,
C79.49,Secondary malignant neoplasm of brain and spinal cord (CMS-HCC),13,,,,,,,,,
C83.30,DLBCL (diffuse large B cell lymphoma) (CMS-HCC),13,,,,,,,,,
C01,Carcinoma of base of tongue (CMS-HCC),12,,,,,,,,,
C10.9,Oropharynx cancer (CMS-HCC),12,,,,,,,,,
C20,Malignant neoplasm of rectum (CMS-HCC),12,,,,,,,,,
C32.9,Laryngeal cancer (CMS-HCC),12,,,,,,,,,
C43.9,Melanoma of skin (CMS-HCC),12,,,,,,,,,
C49.A0,GIST,12,,,,,,,,,
C50.411,Malignant neoplasm of upper-outer quadrant of right breast in female,12,,,,,,,,,
C50.919,Malignant neoplasm of female breast,12,,,,,,,,,
C64.9,Renal cell cancer (CMS-HCC),12,,,,,,,,,
C71.9,GBM (glioblastoma multiforme) (CMS-HCC),12,,,,,,,,,
C71.9,Glioblastoma (CMS-HCC),12,,,,,,,,,
C78.00,Metastatic cancer to lung (CMS-HCC),12,,,,,,,,,
C78.2,Secondary malignant neoplasm of pleura (CMS-HCC),12,,,,,,,,,
C78.7,Metastatic melanoma to liver (CMS-HCC),12,,,,,,,,,
C79.9,Metastatic cancer (CMS-HCC),12,,,,,,,,,
D12.6,Benign neoplasm of colon,12,,,,,,,,,
D3A.8,Neuroendocrine tumor of pancreas,12,,,,,,,,,
C02.9,Squamous cell carcinoma of tongue (CMS-HCC),11,,,,,,,,,
C09.9,Tonsil cancer (CMS-HCC),11,,,,,,,,,
C16.9,Malignant neoplasm of stomach,11,,,,,,,,,
C18.1,Appendix carcinoma (CMS-HCC),11,,,,,,,,,
C18.2,Malignant neoplasm of ascending colon (CMS-HCC),11,,,,,,,,,
C45.1,Peritoneal mesothelioma (CMS-HCC),11,,,,,,,,,
C48.2,Peritoneal carcinoma (CMS-HCC),11,,,,,,,,,
C79.51,Secondary malignant neoplasm of bone and bone marrow (CMS-HCC),11,,,,,,,,,
C79.52,Secondary malignant neoplasm of bone and bone marrow (CMS-HCC),11,,,,,,,,,
D17.9,Lipoma,11,,,,,,,,,
C13.9,Hypopharyngeal cancer (CMS-HCC),10,,,,,,,,,
C15.9,Malignant neoplasm of esophagus,10,,,,,,,,,
C18.1,Adenocarcinoma,10,,,,,,,,,
C18.1,Mucinous adenocarcinoma of appendix (CMS-HCC),10,,,,,,,,,
C18.1,Primary appendiceal adenocarcinoma (CMS-HCC),10,,,,,,,,,
C22.0,HCC (hepatocellular carcinoma) (CMS-HCC),10,,,,,,,,,
C34.11,Malignant neoplasm of upper lobe of right lung (CMS-HCC),10,,,,,,,,,
C34.90,Adenocarcinoma of lung,10,,,,,,,,,
C44.91,BCC (basal cell carcinoma of skin),10,,,,,,,,,
C50.811,Malignant neoplasm of overlapping sites of right female breast (CMS-HCC),10,,,,,,,,,
C50.911,Malignant neoplasm of right breast (CMS-HCC),10,,,,,,,,,
C56.9,Malignant neoplasm of ovary,10,,,,,,,,,
C61,Prostate carcinoma (CMS-HCC),10,,,,,,,,,
C77.8,Secondary and malignant neoplasm of lymph nodes of multiple sites (CMS-HCC),10,,,,,,,,,
C78.00,Metastasis to lung (CMS-HCC),10,,,,,,,,,
C78.1,Secondary malignant neoplasm of mediastinum (CMS-HCC),10,,,,,,,,,
C78.6,Carcinomatosis peritonei (CMS-HCC),10,,,,,,,,,
C78.7,Metastasis to liver (CMS-HCC),10,,,,,,,,,
C80.1,Carcinomatosis peritonei (CMS-HCC),10,,,,,,,,,
C80.1,Mucinous adenocarcinoma (CMS-HCC),10,,,,,,,,,
C85.90,Lymphoma (CMS-HCC),10,,,,,,,,,
C91.90,CLL (chronic lymphocytic leukemia) (CMS-HCC),10,,,,,,,,,
C91.90,Chronic lymphocytic leukemia (CMS-HCC),10,,,,,,,,,
D3A.8,Neuroendocrine tumor,10,,,,,,,,,
D3A.8,Primary pancreatic neuroendocrine tumor,10,,,,,,,,,
D48.5,Neoplasm of uncertain behavior of skin,10,,,,,,,,,
C18.1,Adenocarcinoma of appendix (CMS-HCC),9,,,,,,,,,
C34.11,Malignant neoplasm of right upper lobe of lung (CMS-HCC),9,,,,,,,,,
C44.90,Skin cancer,9,,,,,,,,,
C49.A3,GIST (gastrointestinal stromal tumor) of small bowel,9,,,,,,,,,
C50.512,Malignant neoplasm of lower-outer quadrant of left female breast (CMS-HCC),9,,,,,,,,,
C50.912,Invasive ductal carcinoma of left breast (CMS-HCC),9,,,,,,,,,
C77.9,Secondary malignant neoplasm of lymph nodes (CMS-HCC),9,,,,,,,,,
C79.31,Secondary malignant neoplasm of brain (CMS-HCC),9,,,,,,,,,
C79.9,Metastatic squamous cell carcinoma (CMS-HCC),9,,,,,,,,,
C85.90,NHL (non-Hodgkin's lymphoma) (CMS-HCC),9,,,,,,,,,
D05.11,Ductal carcinoma in situ (DCIS) of right breast,9,,,,,,,,,
D49.0,Parotid tumor,9,,,,,,,,,
D49.4,Bladder tumor,9,,,,,,,,,
NULL,Secondary and malignant neoplasm of intrapelvic lymph nodes,9,,,,,,,,,
Z17.0,Malignant neoplasm of upper-outer quadrant of right breast in female,9,,,,,,,,,
C06.9,Squamous cell carcinoma of oral cavity (CMS-HCC),8,,,,,,,,,
C07,Malignant neoplasm of parotid gland (CMS-HCC),8,,,,,,,,,
C16.9,Gastric adenocarcinoma (CMS-HCC),8,,,,,,,,,
C18.9,Metastasis from colon cancer (CMS-HCC),8,,,,,,,,,
C20,Rectal adenocarcinoma metastatic to liver (CMS-HCC),8,,,,,,,,,
C21.0,Anal cancer (CMS-HCC),8,,,,,,,,,
C25.9,Malignant neoplasm of pancreas (CMS-HCC),8,,,,,,,,,
C25.9,Pancreatic cancer metastasized to liver (CMS-HCC),8,,,,,,,,,
C32.9,Larynx cancer (CMS-HCC),8,,,,,,,,,
C32.9,Squamous cell carcinoma of larynx (CMS-HCC),8,,,,,,,,,
C34.12,Malignant neoplasm of upper lobe of left lung (CMS-HCC),8,,,,,,,,,
C34.90,Primary lung adenocarcinoma (CMS-HCC),8,,,,,,,,,
C44.42,SCC (squamous cell carcinoma),8,,,,,,,,,
C44.92,Squamous cell skin cancer,8,,,,,,,,,
C49.9,Liposarcoma (CMS-HCC),8,,,,,,,,,
C49.A0,GIST (gastrointestinal stromal tumor),8,,,,,,,,,
C49.A0,Gastrointestinal stromal tumor (GIST) (CMS-HCC),8,,,,,,,,,
C49.A3,Malignant gastrointestinal stromal tumor (GIST) of small intestine (CMS-HCC),8,,,,,,,,,
C50.212,Malignant neoplasm of upper-inner quadrant of left female breast (CMS-HCC),8,,,,,,,,,
C50.911,Invasive ductal carcinoma of breast,8,,,,,,,,,
C50.911,Invasive ductal carcinoma of right breast (CMS-HCC),8,,,,,,,,,
C50.912,Invasive ductal carcinoma of breast,8,,,,,,,,,
C50.912,Malignant neoplasm of left breast (CMS-HCC),8,,,,,,,,,
C50.919,Breast cancer,8,,,,,,,,,
C50.919,Malignant neoplasm of breast (female) (CMS-HCC),8,,,,,,,,,
C54.1,Primary malignant neoplasm of endometrium (CMS-HCC),8,,,,,,,,,
C56.9,Malignant neoplasm of ovary (CMS-HCC),8,,,,,,,,,
C61,Prostate cancer metastatic to intrapelvic lymph node (CMS-HCC),8,,,,,,,,,
C64.1,Renal cell cancer,8,,,,,,,,,
C73,Malignant neoplasm of thyroid gland (CMS-HCC),8,,,,,,,,,
C73,Papillary carcinoma of thyroid (CMS-HCC),8,,,,,,,,,
C77.3,Breast cancer metastasized to axillary lymph node,8,,,,,,,,,
C77.5,Prostate cancer metastatic to intrapelvic lymph node (CMS-HCC),8,,,,,,,,,
C77.9,Metastatic melanoma to lymph node (CMS-HCC),8,,,,,,,,,
C78.01,Malignant neoplasm metastatic to right lung (CMS-HCC),8,,,,,,,,,
C78.01,Secondary malignant neoplasm of both lungs (CMS-HCC),8,,,,,,,,,
C78.02,Secondary malignant neoplasm of both lungs (CMS-HCC),8,,,,,,,,,
C78.7,Pancreatic cancer metastasized to liver (CMS-HCC),8,,,,,,,,,
C78.7,Rectal adenocarcinoma metastatic to liver (CMS-HCC),8,,,,,,,,,
C79.31,Secondary malignant melanoma of brain (CMS-HCC),8,,,,,,,,,
C79.89,Malignant neoplasm metastatic to neck with unknown primary site (CMS-HCC),8,,,,,,,,,
C79.9,Metastasis from colon cancer (CMS-HCC),8,,,,,,,,,
C80.1,Malignant neoplasm metastatic to neck with unknown primary site (CMS-HCC),8,,,,,,,,,
D12.6,FAP (familial adenomatous polyposis),8,,,,,,,,,
D36.9,Tubular adenoma,8,,,,,,,,,
D49.7,Adrenal tumor,8,,,,,,,,,
C02.1,Squamous cell carcinoma of lateral tongue (CMS-HCC),7,,,,,,,,,
C09.9,Tonsillar cancer (CMS-HCC),7,,,,,,,,,
C18.3,Malignant neoplasm of hepatic flexure (CMS-HCC),7,,,,,,,,,
C18.4,Malignant neoplasm of transverse colon (CMS-HCC),7,,,,,,,,,
C18.6,Malignant neoplasm of descending colon (CMS-HCC),7,,,,,,,,,
C18.9,Malignant neoplasm of colon (CMS-HCC),7,,,,,,,,,
C23,Adenocarcinoma of gallbladder (CMS-HCC),7,,,,,,,,,
C43.4,Melanoma of scalp (CMS-HCC),7,,,,,,,,,
C45.9,Mesothelioma (CMS-HCC),7,,,,,,,,,
C49.A2,Gastrointestinal stromal tumor (GIST) of stomach (CMS-HCC),7,,,,,,,,,
C49.A4,GIST (gastrointestinal stroma tumor),7,,,,,,,,,
C50.211,Malignant neoplasm of upper-inner quadrant of right female breast (CMS-HCC),7,,,,,,,,,
C50.511,Malignant neoplasm of lower-outer quadrant of right female breast (CMS-HCC),7,,,,,,,,,
C67.8,Malignant neoplasm of overlapping sites of bladder (CMS-HCC),7,,,,,,,,,
C77.3,Malignant neoplasm metastatic to lymph node of axilla (CMS-HCC),7,,,,,,,,,
C77.3,Secondary malignant neoplasm of axillary lymph nodes (CMS-HCC),7,,,,,,,,,
C78.5,Metastatic colorectal cancer (CMS-HCC),7,,,,,,,,,
C78.6,Metastasis to peritoneal cavity (CMS-HCC),7,,,,,,,,,
C78.7,Hepatic metastasis (CMS-HCC),7,,,,,,,,,
C79.9,Metastasis (CMS-HCC),7,,,,,,,,,
C90.00,Multiple myeloma (CMS-HCC),7,,,,,,,,,
D05.10,DCIS (ductal carcinoma in situ) of breast,7,,,,,,,,,
D48.9,Neoplasm of uncertain behavior,7,,,,,,,,,
K31.7,Gastric polyp,7,,,,,,,,,
C07,Malignant tumor of parotid gland (CMS-HCC),6,,,,,,,,,
C09.9,Squamous cell carcinoma of tonsil (CMS-HCC),6,,,,,,,,,
C18.9,Colon adenocarcinoma (CMS-HCC),6,,,,,,,,,
C18.9,Colon cancer metastasized to lung (CMS-HCC),6,,,,,,,,,
C18.9,Colon cancer metastasized to ovary (CMS-HCC),6,,,,,,,,,
C32.1,Malignant neoplasm of supraglottis (CMS-HCC),6,,,,,,,,,
C34.90,Squamous cell lung cancer (CMS-HCC),6,,,,,,,,,
C43.59,Melanoma of back (CMS-HCC),6,,,,,,,,,
C44.42,Squamous cell carcinoma,6,,,,,,,,,
C44.90,Malignant neoplasm of skin,6,,,,,,,,,
C44.91,BCC (basal cell carcinoma),6,,,,,,,,,
C45.1,Mesothelioma of peritoneum (CMS-HCC),6,,,,,,,,,
C49.9,Pleomorphic cell sarcoma (CMS-HCC),6,,,,,,,,,
C50.512,Malignant neoplasm of lower-outer quadrant of left breast of female,6,,,,,,,,,
C50.911,Malignant neoplasm of right breast in female,6,,,,,,,,,
C50.912,Breast cancer metastasized to axillary lymph node,6,,,,,,,,,
C50.919,Breast cancer metastasized to liver,6,,,,,,,,,
C56.9,Ovarian cancer,6,,,,,,,,,
C61,Prostate cancer,6,,,,,,,,,
C64.9,Malignant neoplasm of kidney excluding renal pelvis (CMS-HCC),6,,,,,,,,,
C64.9,Renal cell carcinoma,6,,,,,,,,,
C68.9,Urothelial carcinoma (CMS-HCC),6,,,,,,,,,
C73,Primary cancer of thyroid gland metastatic to bone (CMS-HCC),6,,,,,,,,,
C73,Thyroid ca (CMS-HCC),6,,,,,,,,,
C77.0,Cancer of head,6,,,,,,,,,
C77.8,Secondary malignant neoplasm of lymph nodes of multiple sites (CMS-HCC),6,,,,,,,,,
C77.9,Squamous cell carcinoma of lymph node (CMS-HCC),6,,,,,,,,,
C78.00,Colon cancer metastasized to lung (CMS-HCC),6,,,,,,,,,
C78.00,Pulmonary metastases (CMS-HCC),6,,,,,,,,,
C78.6,Secondary malignant neoplasm of peritoneum (CMS-HCC),6,,,,,,,,,
C78.7,Breast cancer metastasized to liver,6,,,,,,,,,
C78.7,Secondary liver cancer (CMS-HCC),6,,,,,,,,,
C79.10,Metastatic urothelial carcinoma (CMS-HCC),6,,,,,,,,,
C79.51,Primary cancer of thyroid gland metastatic to bone (CMS-HCC),6,,,,,,,,,
C79.60,Colon cancer metastasized to ovary (CMS-HCC),6,,,,,,,,,
C79.9,Metastatic adenocarcinoma (CMS-HCC),6,,,,,,,,,
C80.1,Carcinoma (CMS-HCC),6,,,,,,,,,
D05.11,Breast neoplasm,6,,,,,,,,,
D12.6,Adenoma of large intestine,6,,,,,,,,,
D13.2,Duodenal adenoma,6,,,,,,,,,
D25.9,Fibroid uterus,6,,,,,,,,,
D3A.00,Carcinoid tumor,6,,,,,,,,,
D49.9,Neoplasm,6,,,,,,,,,
C04.9,SCC (squamous cell carcinoma of floor of mouth) (CMS-HCC),5,,,,,,,,,
C13.9,Cancer of hypopharynx (CMS-HCC),5,,,,,,,,,
C16.2,Malignant neoplasm of body of stomach (CMS-HCC),5,,,,,,,,,
C18.7,Adenocarcinoma of sigmoid colon (CMS-HCC),5,,,,,,,,,
C22.9,Liver cancer (CMS-HCC),5,,,,,,,,,
C23,Gallbladder cancer (CMS-HCC),5,,,,,,,,,
C24.1,Ampullary carcinoma (CMS-HCC),5,,,,,,,,,
C25.1,Malignant neoplasm of body of pancreas (CMS-HCC),5,,,,,,,,,
C32.9,Laryngeal carcinoma (CMS-HCC),5,,,,,,,,,
C34.10,Lung cancer,5,,,,,,,,,
C34.90,Adenocarcinoma,5,,,,,,,,,
C34.90,Squamous cell carcinoma of lung,5,,,,,,,,,
C43.30,Melanoma of face (CMS-HCC),5,,,,,,,,,
C44.320,Squamous cell carcinoma of skin of face,5,,,,,,,,,
C44.42,Squamous cell cancer of scalp and skin of neck,5,,,,,,,,,
C44.91,Skin cancer,5,,,,,,,,,
C44.92,SCCA (squamous cell carcinoma) of skin,5,,,,,,,,,
